lesson_number,order_index,domain,difficulty,title,module,topics,prerequisites,status,tags,notes
1,1,active_directory,1,Active Directory Fundamentals,,"Understand what Active Directory is and why organizations use it, Explain the role of Domain Controllers and how they work, Describe the hierarchical structure of Domains, OUs, and Objects",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
2,2,active_directory,2,Group Policy Essentials,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
3,3,active_directory,3,Kerberos Authentication,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
4,4,active_directory,2,Active Directory Enumeration & Attack Path Discovery,,"Execute baseline enumeration of users, groups, and computers without disrupting production, Correlate group memberships and delegation settings to identify privilege escalation paths, Use PowerView and SharpHound modules with minimal footprint and auditable safeties","[""Active Directory Fundamentals"", ""Active Directory Group Policy Essentials"", ""Active Directory Kerberos Deep Dive""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
5,5,active_directory,2,Active Directory Hardening & Continuous Monitoring,,"Design tiered administration structures that reduce lateral movement risk, Implement Group Policy and LAPS controls that minimise credential theft, Deploy honeytokens and deception objects to detect enumeration","[""Active Directory Fundamentals"", ""Active Directory Enumeration & Attack Path Discovery""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
6,7,active_directory,2,Attack Path Remediation Lab,,"Prioritise BloodHound findings using choke points and high-value assets, Execute remediation steps for common attack path patterns, Automate group membership and delegation clean-up with scripts","[""Active Directory Enumeration & Attack Path Discovery"", ""Active Directory Hardening & Continuous Monitoring""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
7,8,active_directory,3,Just-In-Time & Just-Enough Admin Implementation,,"Design JIT/JEA workflows aligned with AD security strategy, Configure Azure AD PIM and on-premises JIT tooling, Author JEA role capability files for administrative tasks","[""Active Directory Hardening & Continuous Monitoring"", ""Attack Path Remediation Lab""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
8,9,active_directory,3,BloodHound: Mapping and Exploiting Active Directory Relationships,,"Understand how BloodHound leverages graph theory to map AD relationships, Identify key AD objects and edges relevant to privilege escalation, Apply SharpHound to collect data from AD environments safely",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
9,9,active_directory,2,Hybrid AD Identity Security,,"Secure Azure AD Connect and related hybrid components, Implement Conditional Access policies for hybrid users, Monitor risky sign-ins with Azure AD and Defender for Identity","[""Active Directory Enumeration & Attack Path Discovery"", ""Azure AD Conditional Access Bypass Scenarios""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
10,10,active_directory,2,Credential Guard & LSA Protection Lab,,"Deploy Credential Guard using Group Policy and device management, Enable LSA protection and validate with system diagnostics, Monitor events indicating credential theft attempts","[""Windows Security Monitoring & Logging"", ""Windows Privilege Escalation for Red Teams""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
